Q6P2Q9	PRPF8
P52891	NUP84
Q9NXG2	THUMPD1
P53072	TAN1
Q9Y2V7	COG6
P53959	COG6
Q9H0U3	MAGT1
Q13454	TUSC3
P48439	OST3
O75586	MED6
P38782	MED6
Q9BTM9	URM1
P40554	URM1
Q8NHS0	DNAJB8
O75190	DNAJB6
P25686	DNAJB2
Q7Z6W7	DNAJB7
Q8WWF6	DNAJB3
P48353	HLJ1
Q13835	PKP1
Q99959	PKP2
Q9Y446	PKP3
O00192	ARVCF
P39968	VAC8
Q9BX95	SGPP1
Q8IWX5	SGPP2
P47013	LCB3
P23501	YSR3
P00374	DHFR
Q86XF0	DHFR2
P07807	DFR1
P61604	HSPE1
P38910	HSP10
Q96EK6	GNPNAT1
P43577	GNA1
Q9Y4Y9	LSM5
P40089	LSM5
Q9Y3C4	TPRKB
Q03705	CGI121
P47712	PLA2G4A
Q3MJ16	PLA2G4E
Q86XP0	PLA2G4D
Q68DD2	PLA2G4F
P0C869	PLA2G4B
Q9UP65	PLA2G4C
P53541	SPO1
P39105	PLB1
Q03674	PLB2
Q08108	PLB3
O75379	VAMP4
P63027	VAMP2
L7N2F9	
P23763	VAMP1
Q15836	VAMP3
P33328	SNC2
P31109	SNC1
O96008	TOMM40
Q969M1	TOMM40L
P23644	TOM40
O95249	GOSR1
P38736	GOS1
Q3KRA6	C2orf76
P36154	AIM29
P30049	ATP5F1D
Q12165	ATP16
P57081	WDR4
Q03774	TRM82
Q5VZE5	NAA35
Q02197	MAK10
Q8TCF1	ZFAND1
P53899	CUZ1
Q9Y256	RCE1
Q03530	RCE1
P28845	HSD11B1
Q7Z5J1	HSD11B1L
P40579	
P40580	IRC24
Q8N7H5	PAF1
P38351	PAF1
Q86UA1	PRPF39
Q03776	PRP42
Q9UK97	FBXO9
Q12347	HRT3
P62891	RPL39
Q59GN2	RPL39P5
Q96EH5	RPL39L
P04650	RPL39
Q8WZ82	OVCA2
Q99369	FSH3
Q05015	FSH2
A6NK58	LIPT2
Q06005	LIP2
P32780	GTF2H1
P32776	TFB1
P61009	SPCS3
Q12133	SPC3
P56937	HSD17B7
Q12452	ERG27
Q16635	TAZ
Q06510	TAZ1
Q96DG6	CMBL
P39721	AIM2
Q9UKR5	ERG28
P40030	ERG28
Q9HD34	LYRM4
Q6Q560	ISD11
Q9BRY0	SLC39A3
Q9NY26	SLC39A1
Q9NP94	SLC39A2
Q12436	ZRT2
P32804	ZRT1
Q6IBS0	TWF2
Q12792	TWF1
P53250	TWF1
Q96FX2	DPH3
Q9H4G8	DPH3P1
Q3E840	KTI11
Q99685	MGLL
P28321	YJU3
Q9BUP3	HTATIP2
P40008	FMP52
Q99426	TBCB
P53904	ALF1
Q96EU6	RRP36
Q12481	RRP36
Q9UEE9	CFDP1
P38326	SWC5
Q9GZS1	POLR1E
Q01080	RPA49
Q9UHV9	PFDN2
P40005	GIM4
Q86V88	MDP1
E9PL57	NEDD8-MDP1
P40081	
Q9NQG5	RPRD1B
Q96P16	RPRD1A
Q05543	RTT103
Q16342	PDCD2
P25040	TSR4
P62308	SNRPG
P40204	SMX2
P78330	PSPH
P42941	SER2
Q96EK9	KTI12
P34253	KTI12
Q9Y296	TRAPPC4
Q03784	TRS23
P07305	H1F0
P16401	HIST1H1B
P10412	HIST1H1E
P16403	HIST1H1C
Q02539	HIST1H1A
P16402	HIST1H1D
P53551	HHO1
Q9GZP9	DERL2
Q96Q80	DERL3
Q9BUN8	DERL1
Q12743	DFM1
Q9H903	MTHFD2L
P13995	MTHFD2
Q02046	MTD1
P20674	COX5A
P00427	COX6
O43913	ORC5
P50874	ORC5
O95568	METTL18
P40481	HPM1
O43290	SART1
Q12420	SNU66
P62314	SNRPD1
Q02260	SMD1
Q2VPK5	CTU2
P53923	NCS2
Q5T440	IBA57
P47158	IBA57
O75348	ATP6V1G1
O95670	ATP6V1G2
Q96LB4	ATP6V1G3
P48836	VMA10
P12956	XRCC6
P32807	YKU70
O95391	SLU7
Q02775	SLU7
Q14197	MRPL58
Q12322	
Q9P1U0	ZNRD1
P32529	RPA12
Q9Y5R8	TRAPPC1
Q03630	BET5
O75521	ECI2
Q8N8U2	CDYL2
Q08558	DCI1
Q05871	ECI1
A0PJX2	TLDC2
Q08952	OXR1
Q06136	KDSR
P38342	TSC10
P62310	LSM3
P57743	LSM3
Q53F39	MPPE1
P40986	CDC1
Q12893	TMEM115
Q12239	
Q5JQF8	PABPC1L2A
Q99181	HSH49
Q8N2U9	SLC66A2
Q03687	
Q9Y5M8	SRPRB
P36057	SRP102
O95147	DUSP14
Q8NEJ0	DUSP18
Q9H596	DUSP21
Q4G0W2	DUSP28
Q9BV47	DUSP26
P40479	SDP1
P30039	PBLD
P38765	YHI9
Q14CX7	NAA25
Q12387	MDM20
Q8IWL3	HSCB
P53193	JAC1
Q969E8	TSR2
Q06672	TSR2
Q9NPE3	NOP10
Q6Q547	NOP10
Q96AQ8	MCUR1
Q9GZT6	CCDC90B
P43557	FMP32
O14561	NDUFAB1
P32463	ACP1
Q5J8M3	EMC4
P53073	EMC4
Q8N954	GPATCH11
Q06152	
Q9BZD4	NUF2
P33895	NUF2
Q9BSV6	TSEN34
P39707	SEN34
Q9UHB9	SRP68
P38687	SRP68
Q9NV56	MRGBP
P53911	EAF7
Q9UBV8	PEF1
O75340	PDCD6
P30626	SRI
P28676	GCA
P53238	PEF1
Q24JQ0	TMEM241
P40107	VRG4
P0CE11	HVG1
Q8N3Z6	ZCCHC7
P40507	AIR1
Q12476	AIR2
P14927	UQCRB
P00128	QCR7
Q15369	ELOC
Q03071	ELC1
Q9BV38	WDR18
P53877	IPI3
Q9Y248	GINS2
P40359	PSF2
Q9Y4Z0	LSM4
P40070	LSM4
Q9Y3D6	FIS1
P40515	FIS1
Q9NQZ2	UTP3
Q12136	SAS10
Q9P287	BCCIP
Q06338	BCP1
Q9NS18	GLRX2
P17695	GRX2
P38068	GRX7
P25373	GRX1
Q12438	GRX6
P51572	BCAP31
Q9UHQ4	BCAP29
Q07451	YET3
Q96MV1	TLCD4
P47153	TDA4
Q06107	
O95707	POP4
P38336	POP4
O00488	ZNF593
Q08004	BUD20
P62072	TIMM10
P87108	TIM10
Q3MHD2	LSM12
P38828	LSM12
Q96J01	THOC3
P53851	TEX1
Q9UNW1	MINPP1
P00635	PHO5
P35842	PHO11
P38693	PHO12
P24031	PHO3
P52290	DIA3
Q9NXX6	NSMCE4A
Q8N140	EID3
P43124	NSE4
Q9BZX2	UCK2
Q9HA47	UCK1
Q12084	DAS2
Q49B96	COX19
Q3E731	COX19
Q9Y5J7	TIMM9
O74700	TIM9
Q9NUM3	SLC39A9
Q12067	ATX2
O75865	TRAPPC6A
Q86SZ2	TRAPPC6B
Q99394	TRS33
Q14691	GINS1
Q12488	PSF1
Q53GS7	GLE1
Q12315	GLE1
Q86U28	ISCA2
Q12425	ISA2
Q96EB1	ELP4
Q02884	ELP4
Q9Y5K1	SPO11
P23179	SPO11
Q9H1Y0	ATG5
Q12380	ATG5
A8K0S8	MEIS3P2
Q99687	MEIS3
A6NDR6	MEIS3P1
O00470	MEIS1
O14770	MEIS2
Q96KN3	PKNOX2
P55347	PKNOX1
P41817	CUP9
P53147	TOS8
O95292	VAPB
Q9P0L0	VAPA
P40075	SCS2
Q6Q595	SCS22
O95214	LEPROTL1
O15243	LEPROT
P47111	VPS55
Q5T280	SPOUT1
P53336	
Q04867	
Q9NVH6	TMLHE
O75936	BBOX1
P23180	AIM17
O75208	COQ9
Q05779	COQ9
Q02127	DHODH
P28272	URA1
Q8NHR9	PFN4
P07274	PFY1
Q86Y79	PTRH1
P38876	PTH1
Q9BYN0	SRXN1
P36077	SRX1
Q9BSH5	HDHD3
Q04223	
Q9Y3B9	RRP15
Q06511	RRP15
O15347	HMGB3
P09429	HMGB1
P26583	HMGB2
B2RPK0	HMGB1P1
Q8WW32	HMGB4
Q02486	ABF2
P35711	SOX5
P35712	SOX6
Q9UN79	SOX13
P33417	IXR1
O14925	TIMM23
Q5SRD1	TIMM23B
P32897	TIM23
P10746	UROS
P06174	HEM4
P05423	POLR3D
P25441	RPC53
O77932	DXO
P53063	RAI1
P60059	SEC61G
P35179	SSS1
Q9H8P0	SRD5A3
P40526	DFG10
Q9BRT9	GINS4
Q03406	SLD5
Q9HD47	RANGRF
P47123	MOG1
Q9UBB9	TFIP11
Q06411	SPP382
Q9Y5L4	TIMM13
P53299	TIM13
Q99612	KLF6
O75840	KLF7
Q8TD94	KLF14
P38082	NRG2
Q03125	NRG1
Q7Z3B4	NUP54
P48837	NUP57
Q02199	NUP49
Q02630	NUP116
Q9UI30	TRMT112
M0R242	
P53738	TRM112
Q6ICL3	TANGO2
P53275	
Q96IV6	FAXDC2
P38992	SUR2
Q9H3J6	C12orf65
Q05863	
O43524	FOXO3
Q12778	FOXO1
A8MYZ6	FOXO6
P98177	FOXO4
P41813	FKH2
P40466	FKH1
P39521	FHL1
P30086	PEBP1
Q06252	
P14306	TFS1
Q15361	TTF1
Q12457	NSI1
P21538	REB1
Q9BPX5	ARPC5L
O15511	ARPC5
P40518	ARC15
Q9NWW6	NMRK1
Q9NPI5	NMRK2
P53915	NRK1
P24539	ATP5PB
P05626	ATP4
P62312	LSM6
Q06406	LSM6
Q6RFH5	WDR74
P53136	NSA1
Q9P0J6	MRPL36
O14464	RTC6
Q96KP1	EXOC2
P89102	SEC5
Q9NRF9	POLE3
Q04603	DPB4
Q9Y6W3	CAPN7
Q03792	RIM13
O60220	TIMM8A
Q9Y5J9	TIMM8B
P57744	TIM8
O75575	CRCP
P47076	RPC17
P63173	RPL38
P49167	RPL38
Q8IYI6	EXOC8
P38261	EXO84
Q9BVC3	DSCC1
P25559	DCC1
O15162	PLSCR1
Q9NRY7	PLSCR2
A0PG75	PLSCR5
Q9NRY6	PLSCR3
Q9NRQ2	PLSCR4
P47140	AIM25
Q8NFU3	TSTD1
Q08742	RDL2
Q12305	RDL1
A4D1U4	DENND11
P36090	ANR2
O15431	SLC31A1
P38865	CTR2
Q15543	TAF13
P11747	TAF13
P60602	ROMO1
Q02889	MGR2
Q9NWV4	CZIB
P25654	
Q9BV23	ABHD6
P53750	
Q96EY9	ADAT3
Q9URQ3	TAD3
Q92911	SLC5A5
Q8N695	SLC5A8
Q1EHB4	SLC5A12
Q9Y289	SLC5A6
P33413	DUR3
P0C5J1	FAM86B2
Q8N7N1	FAM86B1
Q96G04	EEF2KMT
P47163	EFM3
Q7L5L3	GDPD3
Q8N9F7	GDPD1
Q08959	PGC1
P29084	GTF2E2
P36145	TFA2
Q53S33	BOLA3
P39724	BOL3
Q07326	PIGF
Q06636	GPI11
Q9H2W6	MRPL46
P36528	MRPL17
Q9BRQ8	AIFM2
P52923	AIF1
Q9BTT4	MED10
Q06213	NUT2
Q9Y5R4	HEMK1
P53944	MTQ1
O43692	PI15
Q9H3Y0	R3HDML
P48060	GLIPR1
Q6UWM5	GLIPR1L1
P54108	CRISP3
P16562	CRISP2
Q4G1C9	GLIPR1L2
P47032	PRY1
P36110	PRY2
Q9NVD3	SETD4
P38732	EFM1
Q08961	RKM1
Q9UI14	RABAC1
P53633	YIP3
Q9Y5U9	IER3IP1
Q3E834	YOS1
P12074	COX6A1
Q5T8I0	
Q02221	COX6A2
P32799	COX13
Q15388	TOMM20
Q6UXN7	TOMM20L
P35180	TOM20
Q5VZV1	METTL21C
A6NDL7	METTL21EP
Q05874	NNT1
O14737	PDCD5
Q04773	
Q8N5M1	ATPAF2
P22135	ATP12
Q9NUD9	PIGV
P38211	GPI18
Q9Y3D3	MRPS16
Q02608	MRPS16
O60216	RAD21
Q9H4I0	RAD21L1
Q12158	MCD1
P49773	HINT1
Q9BX68	HINT2
Q04344	HNT1
Q96MF6	COQ10A
Q9H8M1	COQ10B
Q08058	COQ10
O75347	TBCA
P48606	RBL2
Q86V81	ALYREF
Q12159	YRA1
Q9NRX2	MRPL17
P22353	MRPL8
Q15185	PTGES3
E9PB15	PTGES3L
P28707	SBA1
P11441	UBL4A
Q8N7F7	UBL4B
Q12285	MDY2
Q9BWQ6	YIPF2
Q9Y548	YIPF1
P53108	YIP5
O43715	TRIAP1
O60200	MDM35
P30044	PRDX5
P38013	AHP1
Q5BJF2	TMEM97
Q12155	
Q9Y312	AAR2
P32357	AAR2
Q96NC0	ZMAT2
Q12368	SNU23
Q9NRP4	SDHAF3
Q04401	SDH7
Q07960	ARHGAP1
P85298	ARHGAP8
P32525	ECM25
Q8NEA6	GLIS3
Q8NBF1	GLIS1
P33400	RIM101
P10606	COX5B
P04037	COX4
P53803	POLR2K
P40422	RPC10
Q6GMV2	SMYD5
P38890	SET5
Q9BRJ6	C7orf50
P25617	
Q8WV22	NSMCE1
Q07913	NSE1
Q9BYD3	MRPL4
P51998	YML6
Q9H3K6	BOLA2
P53082	BOL2
Q9BRX5	GINS3
Q12146	PSF3
Q9UKC9	FBXL2
Q96IG2	FBXL20
Q9UJT9	FBXL7
Q8N1E6	FBXL14
Q9UKA2	FBXL4
Q8N461	FBXL16
Q8IY45	AMN1
P06779	RAD7
Q6PML9	SLC30A9
Q08970	MMT2
Q03218	MMT1
P22234	PAICS
P27616	ADE1
Q14894	CRYM
P53110	
P84101	SERF2
Q3E7B7	
Q5JT82	KLF17
P57682	KLF3
O43474	KLF4
Q13887	KLF5
Q9Y5W3	KLF2
O95600	KLF8
Q8TDD2	SP7
Q3SY56	SP6
Q9UIH9	KLF15
Q6NUN9	ZNF746
Q12145	
O75947	ATP5PD
P30902	ATP7
P56589	PEX3
P28795	PEX3
Q6PI98	INO80C
P32617	IES6
Q6UW68	TMEM205
Q06089	
Q9NX07	TRNAU1AP
P40561	SGN1
Q9Y3E2	BOLA1
Q3E793	BOL1
P09601	HMOX1
P30519	HMOX2
P32339	HMX1
P78417	GSTO1
Q9H4Y5	GSTO2
Q12390	GTT2
Q99643	SDHC
Q04487	SHH3
P33421	SDH3
O95777	LSM8
P47093	LSM8
Q14061	COX17
Q12287	COX17
Q9H173	SIL1
Q08199	SIL1
Q9Y2V3	RAX
Q96IS3	RAX2
Q96QS3	ARX
Q9H161	ALX4
O95076	ALX3
Q8N693	ESX1
Q5XKR4	OTP
O75364	PITX3
A6NNA5	DRGX
Q99453	PHOX2B
O15266	SHOX
P78337	PITX1
Q99697	PITX2
O75360	PROP1
Q15699	ALX1
O60902	SHOX2
P32242	OTX1
Q15270	NKX1-1
P28360	MSX1
P35548	MSX2
Q8NFW5	DMBX1
Q9UD57	NKX1-2
P34161	YOX1
Q04116	YHP1
Q9UKT9	IKZF3
Q13422	IKZF1
Q9UKS7	IKZF2
Q9H2S9	IKZF4
Q96CX3	ZNF501
Q9H5V7	IKZF5
Q9BRR0	ZKSCAN3
Q8N3J9	ZNF664
Q5VV52	ZNF691
Q8N782	ZNF525
O43830	
Q6ZTB9	ZNF833P
P52744	ZNF138
H7BYR5	
Q12132	USV1
Q00453	RGM1
Q02930	CREB5
P15336	ATF2
P17544	ATF7
K7ELQ4	NPFF
P39970	ACA1
Q8N2H4	SYS1
H3BUS1	SYS1-DBNDD2
P41544	SYS1
P28328	PEX2
P32800	PEX2
Q7Z6J8	UBE3D
P47172	
Q5TGZ0	MICOS10
Q96VH5	MIC10
Q92535	PIGC
P46961	GPI2
Q9Y3B4	SF3B6
P40565	IST3
Q9NPA8	ENY2
Q6WNK7	SUS1
Q9UQ10	DHDH
Q04869	
Q8WWI5	SLC44A1
Q8N4M1	SLC44A3
Q8IWA5	SLC44A2
Q8NCS7	SLC44A5
Q53GD3	SLC44A4
Q12412	PNS1
Q8TB92	HMGCLL1
P35914	HMGCL
Q12122	LYS21
P48570	LYS20
O15155	BET1
Q9NYM9	BET1L
P22804	BET1
O95562	SFT2D2
Q8WV19	SFT2D1
P38166	SFT2
Q16540	MRPL23
P32387	MRP20
Q9NWU2	GID8
P40208	GID8
O14579	COPE
P40509	SEC28
A6NK06	ACOD1
Q12428	PDH1
Q15493	RGN
P38235	
Q6ZNG9	KRBA2
O13329	FOB1
Q6P3W2	DNAJC24
P47138	JJJ3
Q9BRS8	LARP6
P33399	LHP1
Q9GZZ1	NAA50
Q08689	NAT5
Q9H2M3	BHMT2
Q93088	BHMT
Q08985	SAM4
Q12525	MHT1
O75192	PEX11A
O96011	PEX11B
Q12462	PEX11
Q9NRG0	CHRAC1
P40366	DLS1
P27344	DPB3
P56277	CMC4
Q3E7A9	CMC4
Q9H9J2	MRPL44
P36516	MRPL3
Q7RTV3	ZNF367
Q9Y2Y9	KLF13
Q9NQX0	PRDM6
Q9BXK1	KLF16
Q12531	
Q9NUH8	TMEM14B
A8MWL7	TMEM14DP
Q9P0S9	TMEM14C
Q9Y6G1	TMEM14A
P47131	
P60983	GMFB
O60234	GMFG
Q12156	AIM7
O60783	MRPS14
P10663	MRP2
Q9UDW1	UQCR10
P22289	QCR9
Q9NP79	VTA1
Q06263	VTA1
Q9NYJ1	COA4
Q05809	COA4
Q15006	EMC2
P47133	EMC2
Q9Y244	POMP
P38293	UMP1
P19484	TFEB
O75030	MITF
P19532	TFE3
O14948	TFEC
Q12398	HMS1
O00244	ATOX1
P38636	ATX1
P57088	TMEM33
Q12164	POM33
Q53FT3	HIKESHI
Q08202	OPI10
Q6ZYL4	GTF2H5
Q3E7C1	TFB5
A7E2S9	ANKRD30BL
Q6NSI1	ANKRD26P1
Q9H560	ANKRD19P
Q92527	ANKRD7
A0PJZ0	ANKRD20A5P
Q86SG2	ANKRD23
Q5VYY1	ANKRD22
O14593	RFXANK
P46683	YAR1
Q86WC6	PPP1R27
Q7Z6K4	NRARP
P53066	
P82932	MRPS6
P28778	MRP17
Q86W74	ANKRD46
P25631	
Q8N2Z9	CENPS
Q3E835	MHF1
P43366	MAGEB1
O15481	MAGEB4
O15479	MAGEB2
A8MXT2	MAGEB17
Q96M61	MAGEB18
Q96LZ2	MAGEB10
O15480	MAGEB3
P43363	MAGEA10
A2A368	MAGEB16
Q8N7X4	MAGEB6
P43358	MAGEA4
P43364	MAGEA11
Q9BZ81	MAGEB5
P43361	MAGEA8
A6NCF6	MAGEA13P
P43362	MAGEA9
P43355	MAGEA1
Q9UBF1	MAGEC2
P43365	MAGEA12
P43356	MAGEA2
P43360	MAGEA6
P43357	MAGEA3
Q96MG7	NSMCE3
Q9UJ55	MAGEL2
Q9HAY2	MAGEF1
Q99608	NDN
Q9H213	MAGEH1
Q8TD90	MAGEE2
Q05541	NSE3
P57054	PIGP
Q04082	GPI19
Q16613	AANAT
Q12447	PAA1
Q8N983	MRPL43
Q06090	MRPL51
Q9NZ43	USE1
P53146	USE1
P0CG08	GPR89B
B7ZAQ6	GPR89A
A6NKF9	GPR89B
P38799	
Q96CM3	RPUSD4
Q6P087	RPUSD3
Q06244	PUS5
Q9BYC8	MRPL32
P25348	MRPL32
Q8WV07	LTO1
P53846	LTO1
P61457	PCBD1
Q9H0N5	PCBD2
P38744	
Q969H6	POP5
P28005	POP5
